"","Año","tot","ptot","grado","areaeval"
"1","2007",39425.8359763334,15.9,"2.° grado de primaria","Lectura"
"2","2008",111071.098808599,16.9,"2.° grado de primaria","Lectura"
"3","2009",136397.222384458,23.1,"2.° grado de primaria","Lectura"
"4","2010",165798.310427426,28.7,"2.° grado de primaria","Lectura"
"5","2011",172150.440181955,29.8,"2.° grado de primaria","Lectura"
"6","2012",190073.729751,30.9,"2.° grado de primaria","Lectura"
"7","2013",184696.285712725,33,"2.° grado de primaria","Lectura"
"8","2014",237762.607647,43.5,"2.° grado de primaria","Lectura"
"9","2015",269413.551445384,49.8,"2.° grado de primaria","Lectura"
"10","2016",263701.865908612,46.4,"2.° grado de primaria","Lectura"
"11","2018",220097.517186758,37.8,"2.° grado de primaria","Lectura"
"12","2019",217817.525165008,37.6,"2.° grado de primaria","Lectura"
"13","2022",208705.840881878,37.6,"2.° grado de primaria","Lectura"
"14","2023",202331.995573639,36.6,"2.° grado de primaria","Lectura"
"15","2007",18191.1971883897,7.2,"2.° grado de primaria","Matemática"
"16","2008",61633.3467394085,9.4,"2.° grado de primaria","Matemática"
"17","2009",79897.6379983751,13.5,"2.° grado de primaria","Matemática"
"18","2010",79689.9735827251,13.8,"2.° grado de primaria","Matemática"
"19","2011",76390.6072523304,13.2,"2.° grado de primaria","Matemática"
"20","2012",78591.133484,12.8,"2.° grado de primaria","Matemática"
"21","2013",94422.2363918986,16.8,"2.° grado de primaria","Matemática"
"22","2014",141762.710379,25.9,"2.° grado de primaria","Matemática"
"23","2015",144187.159835448,26.6,"2.° grado de primaria","Matemática"
"24","2016",193487.919206397,34.1,"2.° grado de primaria","Matemática"
"25","2018",85300.4059419939,14.7,"2.° grado de primaria","Matemática"
"26","2019",98692.6002202659,17,"2.° grado de primaria","Matemática"
"27","2022",65703.8236610993,11.8,"2.° grado de primaria","Matemática"
"28","2023",61895.9764525166,11.2,"2.° grado de primaria","Matemática"
"29","2016",158216.511240716,31.4,"4.° grado de primaria","Lectura"
"30","2018",191113.907056351,34.8,"4.° grado de primaria","Lectura"
"31","2019",195665.940009128,34.5,"4.° grado de primaria","Lectura"
"32","2022",173105.360720766,30,"4.° grado de primaria","Lectura"
"33","2023",187626.29298697,33,"4.° grado de primaria","Lectura"
"34","2024",182845.255521313,32.8,"4.° grado de primaria","Lectura"
"35","2016",126589.073698496,25.2,"4.° grado de primaria","Matemática"
"36","2018",168567.275167174,30.7,"4.° grado de primaria","Matemática"
"37","2019",192603.243649738,34,"4.° grado de primaria","Matemática"
"38","2022",134112.626130471,23.3,"4.° grado de primaria","Matemática"
"39","2023",127588.80191922,22.5,"4.° grado de primaria","Matemática"
"40","2024",164408.393895071,29.5,"4.° grado de primaria","Matemática"
